Name,Price,Description of product,Original URL,Keywords,Stretch goals,Alternative sizes or colors available
Mercado Storage Baskets - Square,$145,"Hand-braided palm with leather details. These square storage baskets are as beautiful as they are functional. Each basket takes about three days to complete. All made start-to-finish by a fair trade cooperative in Guerrero, Mexico. Medium - 14""W x 14""D x 14""H Large - 16.5""W x 16.5""D x 16.5""H Oversized - 18""W x 18""D x 20""H Since each basket is handwoven, please expect some slight variation in size. Hand-braided palm leaves Natural Mexico 3 days",https://www.the-citizenry.com/products/mercado-storage-basket,,"https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU3LjY4MTQxNzg2Mjc2LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU3LjAzNTI1MjgzNjc3Ni5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU3LjE1MjQ5NTkyOTc5Mi5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2Ljk5NjUzMTc5MTQ4Ni5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU3LjI2MTIwMTY3NTM1NC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2Ljk5MzA0NjM4ODUwOS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2Ljk5MzMxNTA0MjQxOC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2LjM2MjY2NjEyODgzMy5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2LjYxMzQ5OTk3NTU2MS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2LjU0NjQ4NDI3OTU2Ni5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU1Ljk4NjMzMjQ0MTY4MC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2LjYzNTY0Nzg5MjYwMS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2Ljc3OTcxMzY4MTQwNy5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDY5MDU2LjY1NjU4Mzg0NjQ0LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI2LjI3MDQ3NDc0MDgxMS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI2LjA5NzA2OTc0MzA3OS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI2LjEyODk4NTQxMTgxNS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI2LjUwODEyMzkzMjE5LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI2LjQxMjg0MDEyOTM3Mi5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI2LjE4ODk4MzI2MTA0LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI2LjMxNTA1MDgyNDk0MS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI2LjA0MTEyNzQxNDkwLmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI1Ljk0NjkzMzIyNDYuanBlZw==.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI1LjUxMDUzNTI4Nzk1Ny5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI1LjUxMDI5MjQ3NTM3LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI1LjQ1MDE3OTMxMjYzMy5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI1LjQ2OTY4MjcxMzA4My5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI2MDYzOTI1LjQ2NTAxNTcwMzkuanBlZw==.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU4NzE4LjY5MzUwMjQ0NjE4OC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU4MDM2Ljk4ODM1NTIyNjcwNS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU4MDM3LjYxMzI0NDgyMjEzMi5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU3NjE3LjE3NjQ4MTIzNjI1LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU3MzM4LjAzNjMzMzYzNTIxOS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzEzNDU2MDExLjkwMTQxNDQ1MTc0OC5qcGVn.jpg?w=640&h=640&fit=cover, https://cdn.dashhudson.com/media/640/1592544228.98512277072.jpeg","Medium, Large, Oversized, Set of 2 - M&L, Set of 3 - M&L&O"
Azad Tall Leather Storage Bins - Black,$174.30 (was $249),"Luxe, ethically sourced leather, hand-stitched to perfection. Storage bins never looked this good. Hello, handsome. With luxe leather and a unique fold construction, these storage bins add an element of design to any space. Designed in two roomy sizes, they are a great way to organize towels, blankets, and pretty much anything and everything you have on hand. Made from ethically-sourced leather from Kolkata, each basket is handcrafted in a leather workshop in Gurgaon. Since this is a natural product, each basket is one-of-a-kind – expect variation in markings. Made start-to-finish in a fair trade environment. Also available in a [low size](https://www.the-citizenry.com/products/azad-low-leather-storage-bin ""Azad Low Leather Baskets in Natural and Black Leather"").",https://www.the-citizenry.com/products/azad-tall-leather-storage-bins-black,,"Also available in a [low size](https://www.the-citizenry.com/products/azad-low-leather-storage-bin ""Azad Low Leather Baskets in  Natural and Black Leather"")","black, Medium, Large, Set of 2 - M&L"
Fresh Eucalyptus Wreath,$199,"Experience the natural beauty of this fresh and aromatic eucalyptus wreath, handcrafted in Northern California just for you. This wreath is made fresh with live eucalptus and will dry out over the course of a few weeks. Soak in water to revive its appearance, or enjoy the natural look as it dries. Crafted at a small workshop in Northern California, each botanical is sourced from farms with sustainable, low-till methods. Partnering with local micro-family or women-owned farms, this workshop uses traditional techniques to create and preserve natural works of art. All made start to finish in a fair trade environment.",https://www.the-citizenry.com/products/fresh-eucalyptus-wreath,"Handmade, Sustainable",,"Medium, Large"
Hinoki Wood Floor Mirror,$569,"Clean lines meet the natural beauty of Japanese hinoki wood, masterfully crafted in Okawa, Japan. Effortless and subtle, yet still a total standout – there are so many reasons this floor mirror is the fairest of them all. Made from the highest-grade hinoki cypress, the frame’s light hue and clean lines allow the mirror to seamlessly blend into your space while also making its claim as a focal point. Perfect for an entry, bedroom, living space, or anywhere you want to add a bit of unexpected style. Handcrafted by a 4th generation workshop comprised of 33 artisans, each mirror takes over 10 days to complete. All made sustainably in a fair trade working environment. Note: Available in two sizes - small and standard.",https://www.the-citizenry.com/products/hinoki-wood-floor-mirror,Artisan,"https://images.dashsocial.com/aHR0cHM6Ly9jZG4uZGFzaHNvY2lhbC5jb20vbWVkaWEvZnVsbC8xNzM5NzIxNzA2LjY0NzQxNDQzNTQ4LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU5LjQxNzQxMDkxODk2NC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU5LjExNTcyNDgyNDYzNi5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU5LjgwMDM4MDIzODIyNC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU4LjY4NzI0NDU1MDk1LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU4LjA2MTc3MzY4NTczLmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU4LjcxMDMwMzg3NTY5Ni5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU4LjE4MTYyMjc2NDU1Ni5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU4LjU2MDQzNTM2MzM3Ni5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU4LjI2ODA2MTkyNDg5NC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU3LjIzMDU2MzQ4NjU2LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU3LjY5ODA1MDc5MTMxOC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU3LjQ3NTAwODc3OTU3LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU2LjkxOTY4MDQ2NzU3NS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU3LjA2NTQxODc0ODI0OS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU2LjU3MTY0NDMzNDM5MC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU2LjgzNzM1MTM2MzYyLmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU2LjQxNjc2MTQ2MTAyOC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU1LjcyMDczMjc2NjQxMy5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU1LjkxMTg2MjYxOTU1NS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU1LjYzNjkzNDEzNTU0LmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU1LjczMjE4MDg5Njg2Mi5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NzI1MjU1LjY3ODU3MDU3NjYyNi5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU5MjAyLjU3NjgwMjczMzkzLmpwZWc=.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU4MzA2LjgxNzc5NDY4ODc5MS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU3NjI0LjMxNDQyODY5MTU0My5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU3MzkxLjQzMzY1MzQ5MDUzMy5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU3MzM4LjQ0Mzg1OTg2NTExMC5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU0NDUyLjMwMTcyMDEyNTgxMi5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTU0MTk1LjMwNjA1MzQ4NDM4OS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTUyNTk4LjQ1NzgyNTU0MDQuanBlZw==.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTUxNDU0Ljc3MjQ4MjQyMjMzMS5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzI1NTUxNDQ4LjU2OTU2NDMxMzMwNi5qcGVn.jpg?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzEzNDY2MTg4LjQ5MTQ0MzkzNzIwNS5qcGVn.jpg?w=640&h=640&fit=cover","Small, Standard, Natural"
Samir Handwoven Area Rug - 5' x 8',$629 (was $899),"Handwoven using the finest wool, a cozy, kick-off-your-shoes plush area rug. Tan",https://www.the-citizenry.com/products/samir-handwoven-area-rug-5-x-8,Artisan,Also available as an accent rug.,"5' x 8', Ecru, Tan, Light Grey"
Mercado Storage Cube,$105,"Handwoven from all-natural palm, a compact storage bin that makes corralling clutter look good.",https://www.the-citizenry.com/products/mercado-storage-cube-basket,Artisan,"Mercado Storage Baskets - Square, Mercado Storage Baskets - Round, Mercado Floor Baskets, Mercado Hampers, Rivi Storage Basket, Merapi Storage Baskets, Azad Tall Leather Storage Bins, Totora Floor Basket, Ziwa Oversized Basket, Totora Storage Basket, Kawi Wicker Floor Basket, Bolga Storage Baskets, Azad Low Leather Storage Bin, Kawi Wicker Storage Basket, Nyumba Baskets, Bolga Floor Baskets, Kawi Wicker Hamper, Bolga Tall Basket, Mercado Laundry Set - Set of 3, Azad Tall Leather Storage Bins - Black","One Cube, Set of 2"
Samir Handwoven Area Rug,"$1,099","Handwoven using the finest wool, a cozy, kick-off-your-shoes plush area rug. Tan",https://www.the-citizenry.com/products/samir-wool-area-rug,Artisan,"https://www.the-citizenry.com/products/samir-accent-rug ""Samir Accent Rug Rug""","6' x 9', 8' x 10', 9' x 12', 10' x 14', Ecru, Tan, Light Grey"
Hinoki Wood Side Table,$479,"Artful, modern, and perfectly petite. A side table that’s equal parts versatile and effortless, made from the highest quality Japanese hinoki wood. Handcrafted from sustainably harvested hinoki cypress wood, this modern side table is a true conversation piece. The half moon design features subtle curves as well as straight lines at the base, bringing softness and a modern sensibility to any space. The smaller size allows the table to moonlight as extra seating, too, so it’s super versatile. Style anywhere you want to make a quiet statement — in the bath, guest bedroom, or on either side of an accent chair. Handcrafted from the highest grade hinoki cypress, this table features a soft feel and aromatic scent (that gets more fragrant when wet). From start-to-finish, each one takes over a week to complete. All made in a fair trade workshop in Okawa, Japan, that has perfected the art of furniture making over four generations.",https://www.the-citizenry.com/products/hinoki-wood-side-table,Artisan,"Hinoki Wood Ladder, Hinoki Wood Bench, Hinoki Wood Standing Rack, Mayra Marble Side Table, Meru Counter Stool - Teak, Torres Round Leather Ottoman - Medium & Large, Dua Wicker Stool, Torres Round Leather Ottoman - Small, Hinoki Wood Bath Stool, Meru Counter Stool - Mindi, Manai Woven Nightstand, Sanjay Ottoman - Medium & Large, San Pedro Woven Bench, Azibo Woven Wall Hanging, Hanging Leather Headboard, Ora Wicker Coffee Table, Jaya Nightstand, Mishka Wood Side Table, Penida Wicker Bench, Ravi Platform Bed","Round, Half Moon, Set - 1 ea."
Totora Floor Basket,$139,"Hailing from the coasts of Peru, these woven floor baskets bring a modern, artisanal feel to your space. Extra chunky weave. Braided handles. These woven floor baskets are a thing of beauty. Not to mention, they’re incredibly durable, too – woven with the strong totora reed (a material used to build fishing boats), these designs are made to withstand it all. Handwoven in the homes of master artisans in Lima, Peru, each basket undergoes a meticulous weaving process that takes up to a day to complete. Exclusively made in a fair trade working environment. Due to the handwoven nature of these baskets, expect some variation in size, shape, and color.",https://www.the-citizenry.com/products/totora-floor-basket,Artisan,"Totora Storage Basket, Bolga Floor Baskets, Padma Square Storage Baskets, Rivi Storage Basket, Bolga Storage Baskets, Mercado Floor Baskets, Azad Tall Leather Storage Bins, Merapi Storage Baskets, Mercado Storage Baskets - Round, Mercado Storage Baskets - Square, Ziwa Oversized Basket, Azad Low Leather Storage Bin, Kawi Wicker Floor Basket, Mercado Storage Cube, Kawi Wicker Storage Basket, Mercado Hampers, Azad Tall Leather Storage Bins - Black, Nyumba Baskets, Kawi Wicker Hamper, Bolga Tall Basket","Small, Medium, Large, Set of 2 - M&L, Set of 3 - S&M&L"
Padma Round Storage Basket,$99,"A material known for its durability, the hogla leaf of Bangladesh was practically born to be a woven basket for corralling clutter.",https://www.the-citizenry.com/products/padma-round-storage-basket,Organic,"Padma Rectangle Storage Baskets, Mercado Floor Baskets, Mercado Storage Baskets - Round, Mercado Storage Baskets - Square, Azad Tall Leather Storage Bins, Merapi Storage Baskets, Ziwa Oversized Basket, Totora Floor Basket, Rivi Storage Basket, Totora Storage Basket, Azad Low Leather Storage Bin, Kawi Wicker Floor Basket, Mercado Laundry Set - Set of 3, Mercado Storage Cube, Kawi Wicker Storage Basket, Bolga Floor Baskets, Padma Square Storage Baskets, Bolga Storage Baskets, Mercado Hampers, Azad Tall Leather Storage Bins - Black","Small, Medium, Large, Oversized, Set of 2 - M&L, Set of 3 - M&L&O, Set of 4 - S&M&L&O, Natural"
Stonewashed Linen Quilt,$239 (was $299),Solids: espresso Patterns,https://www.the-citizenry.com/collections/all/products/stonewashed-linen-quilt,,,"Full/Queen, King/Cal King, espresso, olive, aegean, ivory, emerald, barley, barley-stripe, slate-blue, sand, sienna, white, seaglass, indigo-chambray, sand-thin-stripe, graphite-thin-stripe, charcoal, rose"
Neena Handwoven Area Rug,"$1,329.30 (was $1,899)","Add warmth and global appeal to any room with this soft-hued wool rug, handwoven by master artisans in India. With its serene palette and statement-making design, this flatweave wool rug is a total room maker. Not only is it visually stunning, but it’s sustainably made and woven to size (no waste here!). Perfect for spaces big or small, style anywhere you want to add a global touch. Handwoven by a collective of 200 weavers in Panipat, one of India’s historic hubs for rug making, each one takes days to complete. Every rug is Oeko-Tex® certified and made sustainably in a fair trade environment. We recommend using a rug pad to prevent wrinkles and slippage. Measurements Available in 5'x8', 6'x9', 8'x10', 9'x12' Rug Thickness: 1/8"" Materials 100% New Zealand wool Colors Flax Origin India",https://www.the-citizenry.com/products/neena-area-rug,Artisan,accent rug,"flax, 5' x 8', 6' x 9', 8' x 10', 9' x 12', 10' x 14'"
Padma Square Storage Baskets,$99,"An object is only as beautiful as the environment in which it’s made. That’s why we travel the globe to bring the world’s best craftsmanship home to you. Each design is made by the most incredible artisans with the finest materials. All made start-to-finish with fair trade standards. Made of durable hogla leaves, this storage basket brings a natural, organic feel to any space. Designed in a clean, minimal silhouette, it effortlessly blends in modern or traditional homes alike. Available in three roomy sizes, they’re made to stash it all – blankets, toys, towels – pretty much anything and everything. Meticulously braided by hand by a cooperative of women in Dhaka, Bangladesh, each one is made with sustainably harvested materials in a fair trade environment.",https://www.the-citizenry.com/products/padma-square-storage-baskets,"Artisan, Organic",,"Small, Medium, Large, Oversized, Set of 2 - M&L, Set of 3 - M&L&O"
